Commit_hash,Date,Author,File,Attribution
df4e36c3fb35c8cf7b055b2a0d7b4b13a7b5621c,1448717127,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/ssl/DefaultHostnameVerifier.java,production
3297b7a9f3898b5af918502529962b5c7e3f66e9,1447534106,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/impl/cookie/RFC6265CookieSpec.java,production
3297b7a9f3898b5af918502529962b5c7e3f66e9,1447534106,Oleg Kalnichevski,httpclient/src/test/java/org/apache/http/impl/cookie/TestRFC6265CookieSpec.java,test
28040a3f2a86f9c74ce49a8e8e10ccaf5d08a7fc,1447369858,Gary D. Gregory,fluent-hc/src/main/java/org/apache/http/client/fluent/Request.java,production
28040a3f2a86f9c74ce49a8e8e10ccaf5d08a7fc,1447369858,Gary D. Gregory,fluent-hc/src/test/java/org/apache/http/client/fluent/TestFluent.java,test
70e603f81950c7ce56245f4fb211c688bfac7fe5,1447081700,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/client/utils/DateUtils.java,production
6ab2c3297063a867fbabb4166981f3e40da707a7,1447075247,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/client/utils/DateUtils.java,production
34aba2b3a681c660a5260d7fb11800396c8dd849,1445430874,Oleg Kalnichevski,httpmime/src/main/java/org/apache/http/entity/mime/MultipartFormEntity.java,production
e7d625f6046fa392f258f1a5b08d1400ec7e8e90,1443879979,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/impl/cookie/PublicSuffixDomainFilter.java,production
e7d625f6046fa392f258f1a5b08d1400ec7e8e90,1443879979,Oleg Kalnichevski,httpclient/src/test/java/org/apache/http/impl/cookie/TestPublicSuffixListParser.java,test
da125f2d4d7b16a64b6aa166537d18553ca6d55a,1441374559,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/impl/conn/LoggingManagedHttpClientConnection.java,production
64371f74103f4b4472dd5edd7f8b59806b6a7c9b,1440689192,Gary D. Gregory,httpclient-cache/src/main/java/org/apache/http/impl/client/cache/memcached/MemcachedHttpCacheStorage.java,production
6b8214d4b708fb128c5083cf349bdd99038d0e41,1440651577,Gary D. Gregory,httpclient-cache/src/main/java/org/apache/http/impl/client/cache/ResponseCachingPolicy.java,production
ffd4421450a6a7522f3917128b00b5df9101bb7b,1440628145,Gary D. Gregory,httpmime/src/main/java/org/apache/http/entity/mime/Header.java,production
ffd4421450a6a7522f3917128b00b5df9101bb7b,1440628145,Gary D. Gregory,httpmime/src/main/java/org/apache/http/entity/mime/content/AbstractContentBody.java,production
8378e1b6440614d1e9fd75f30f556d8b966862f6,1440626944,Gary D. Gregory,httpclient/src/main/java/org/apache/http/impl/client/IdleConnectionEvictor.java,production
786da6501f04d9a3f971405d8fb910d505ab8a39,1440624227,Gary D. Gregory,httpclient-win/src/main/java/org/apache/http/impl/auth/win/WindowsNegotiateScheme.java,production
786da6501f04d9a3f971405d8fb910d505ab8a39,1440624227,Gary D. Gregory,httpclient-win/src/main/java/org/apache/http/impl/client/WinHttpClients.java,production
8c17af907aeda0d0209d80c7fccf0ba25b58ef69,1439990996,Michael Osipov,httpclient/src/main/java/org/apache/http/auth/NTCredentials.java,production
8c17af907aeda0d0209d80c7fccf0ba25b58ef69,1439990996,Michael Osipov,httpclient/src/main/java/org/apache/http/auth/UsernamePasswordCredentials.java,production
8c17af907aeda0d0209d80c7fccf0ba25b58ef69,1439990996,Michael Osipov,httpclient/src/main/java/org/apache/http/impl/execchain/ProtocolExec.java,production
8c17af907aeda0d0209d80c7fccf0ba25b58ef69,1439990996,Michael Osipov,httpclient/src/test/java/org/apache/http/auth/TestCredentials.java,test
8c17af907aeda0d0209d80c7fccf0ba25b58ef69,1439990996,Michael Osipov,httpclient/src/test/java/org/apache/http/impl/auth/TestHttpAuthenticator.java,test
8c17af907aeda0d0209d80c7fccf0ba25b58ef69,1439990996,Michael Osipov,httpclient/src/test/java/org/apache/http/impl/execchain/TestMainClientExec.java,test
c959fd3967126696ef620d7887e8417af7f495a5,1439734781,Oleg Kalnichevski,httpclient-osgi/src/test/java/org/apache/http/osgi/impl/MimeExportedIT.java,test
0b108f8b2f8815de547100f035de05af07ff9e0c,1439734770,Oleg Kalnichevski,httpclient-osgi/src/test/java/org/apache/http/osgi/impl/MimeExportedIT.java,test
b1f2b6825a2d3c241d9b89ae13b9842628e4ef56,1439292424,Michael Osipov,httpclient/src/main/java/org/apache/http/impl/auth/HttpAuthenticator.java,production
b1f2b6825a2d3c241d9b89ae13b9842628e4ef56,1439292424,Michael Osipov,httpclient/src/main/java/org/apache/http/impl/client/DefaultUserTokenHandler.java,production
b1f2b6825a2d3c241d9b89ae13b9842628e4ef56,1439292424,Michael Osipov,httpclient/src/test/java/org/apache/http/impl/auth/TestHttpAuthenticator.java,test
fcaa920b938dfb3a07dcf87f018e515ff5308b6f,1439287138,Michael Osipov,httpclient-win/src/main/java/org/apache/http/impl/auth/win/WindowsNegotiateScheme.java,production
fcaa920b938dfb3a07dcf87f018e515ff5308b6f,1439287138,Michael Osipov,httpclient-win/src/test/java/org/apache/http/impl/auth/win/TestWindowsNegotiateScheme.java,test
fcaa920b938dfb3a07dcf87f018e515ff5308b6f,1439287138,Michael Osipov,httpclient/src/main/java/org/apache/http/auth/AuthScheme.java,production
