project,num_covered_instruction,num_uncovered_instruction,num_total_instruction,C0coverage
ActiveJpa/activejpa,0,2133,2133,0
ActiveJpa/activejpa,0,653,653,0
ActiveJpa/activejpa,0,653,653,0
ActiveJpa/activejpa,736,457,1193,62
ActiveJpa/activejpa,0,350,350,0
ActiveJpa/activejpa,0,N/A,N/A,0
ActiveJpa/activejpa,0,120,120,0
DozerMapper/dozer,180,72,252,71
DozerMapper/dozer,320,39,359,89
DozerMapper/dozer,39,0,39,100
DozerMapper/dozer,38,0,38,100
DozerMapper/dozer,16,0,16,100
DozerMapper/dozer,260,9,269,97
Esri/geometry-api-java,115701,47523,163224,71
Esri/geometry-api-java,N/A,N/A,N/A,61
FasterXML/jackson-annotations,1948,1158,3106,63
FasterXML/jackson-core,21378,7711,29089,73
FasterXML/jackson-core,3990,1775,5765,69
FasterXML/jackson-core,4370,1365,5735,76
FasterXML/jackson-core,1575,1246,2821,56
FasterXML/jackson-core,2466,1199,3665,67
FasterXML/jackson-core,1911,1120,3031,63
FasterXML/jackson-core,2983,783,3766,79
FasterXML/jackson-core,N/A,N/A,N/A,58
FasterXML/jackson-core,N/A,N/A,N/A,56
FasterXML/jackson-databind,11465,6647,18112,63
FasterXML/jackson-databind,10034,4485,14519,69
FasterXML/jackson-databind,9620,4300,13920,69
FasterXML/jackson-databind,9883,3456,13339,74
FasterXML/jackson-databind,6124,3350,9474,65
FasterXML/jackson-databind,6909,3164,10073,69
FasterXML/jackson-databind,4150,2021,6171,67
FasterXML/jackson-databind,3868,1963,5831,66
FasterXML/jackson-databind,4868,1396,6264,78
FasterXML/jackson-databind,2645,1333,3978,66
FasterXML/jackson-databind,3697,1216,4913,75
FasterXML/jackson-databind,2420,925,3345,72
FasterXML/jackson-databind,927,348,1275,73
FasterXML/jackson-databind,1705,330,2035,84
FasterXML/jackson-databind,186,230,416,45
FasterXML/jackson-databind,541,160,701,77
FasterXML/jackson-databind,N/A,N/A,N/A,58
FasterXML/jackson-databind,N/A,N/A,N/A,77
FasterXML/jackson-databind,N/A,N/A,N/A,90
FasterXML/jackson-databind,N/A,N/A,N/A,82
