Date,Author,File,Attribution,ID
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/Mapper.java,production,624
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/core/AbstractReferenceUnmarshaller.java,production,430
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/DefaultMapper.java,production,616
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/EnumMapper.java,production,618
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/ImmutableTypesMapper.java,production,620
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/Mapper.java,production,624
2015/07/14,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/MapperWrapper.java,production,625
2015/07/05,joehni,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/07/03,joehni,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/07/03,joehni,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/07/02,purnhar,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/07/02,purnhar,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/07/02,purnhar,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/06/28,joehni,xstream/src/java/com/thoughtworks/xstream/mapper/CachingMapper.java,production,612
2015/06/28,joehni,xstream/src/java/com/thoughtworks/xstream/converters/reflection/SunUnsafeReflectionProvider.java,production,427
2015/06/27,joehni,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/06/24,joehni,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2015/06/24,joehni,xstream/src/java/com/thoughtworks/xstream/converters/extended/ActivationDataFlavorConverter.java,production,346
2015/06/18,Tom Adams,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/06/18,Tom Adams,xstream/src/java/com/thoughtworks/xstream/converters/reflection/FieldDictionary.java,production,404
2015/05/11,Robin Kreis,xstream/src/java/com/thoughtworks/xstream/converters/javabean/JavaBeanConverter.java,production,387
2015/02/24,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/mapper/OuterClassMapper.java,production,626
2015/02/21,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/BooleanConverter.java,production,310
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/StackTraceElementFactory.java,production,375
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/AbstractReflectionConverter.java,production,400
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/LambdaConverter.java,production,411
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/SerializationMethodInvoker.java,production,422
2015/02/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/Sun14ReflectionProvider.java,production,424
