tc_name,lifetime,commit frequency
module-client/src/test/java/org/apache/http/impl/client/TestCookieIdentityComparator.java,123,123.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/HttpTestUtils.java,1987,63.0
fluent-hc/src/test/java/org/apache/http/client/fluent/TestFluent.java,594,23.0
httpclient/src/test/java/org/apache/http/localserver/LocalServerTestBase.java,1168,70.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestHttpCacheJiraNumber1147.java,1397,56.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestDefaultCacheEntrySerializer.java,11,5.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCombinedInputStream.java,92,92.0
httpclient/src/test/java/org/apache/http/conn/util/TestPublicSuffixMatcher.java,418,208.5
httpclient/src/test/java/org/apache/http/conn/TestExceptions.java,2424,153.0
module-client/src/test/java/org/apache/http/conn/routing/TestHttpRoute.java,405,50.5
module-client/src/test/java/org/apache/http/impl/cookie/TestBasicCookieAttribHandlers.java,650,27.0
module-client/src/test/java/org/apache/http/conn/ssl/CertificatesToPlayWith.java,650,107.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestCombinedInputStream.java,11,5.5
httpclient/src/test/java/org/apache/http/impl/conn/TestBasicHttpClientConnectionManager.java,1081,24.0
module-client/src/test/java/org/apache/http/conn/ssl/TestSSLSocketFactory.java,650,14.0
httpclient/src/test/java/org/apache/http/impl/client/TestRequestRetryHandler.java,1054,21.0
httpclient/src/test/java/org/apache/http/impl/client/TestDefaultBackoffStrategy.java,1555,17.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/Counter.java,11,11.0
module-client/src/test/java/org/apache/http/impl/conn/TestTSCCMNoServer.java,650,3.0
httpclient/src/test/java/org/apache/http/client/protocol/TestRequestDefaultHeaders.java,1695,50.5
httpmime/src/test/java/org/apache/http/entity/mime/TestFormBodyPartBuilder.java,301,301.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestCacheEntry.java,11,2.5
module-client/src/test/java/org/apache/http/impl/conn/TestSCMWithServer.java,282,141.0
httpclient/src/test/java/org/apache/http/impl/execchain/TestMainClientExec.java,965,14.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestLaxCookieAttribHandlers.java,305,305.0
httpclient/src/test/java/org/apache/http/impl/conn/TestHttpClientConnectionOperator.java,1081,28.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCachingHttpClientBuilder.java,973,108.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/Serializer.java,11,11.0
httpclient/src/test/java/org/apache/http/mockup/SocketFactoryMockup.java,1621,28.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/ehcache/TestEhcacheProtcolRequirements.java,37,18.5
module-client/src/test/java/org/apache/http/impl/conn/TestHttpRoute.java,15,15.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestAbstractCookieSpec.java,2119,284.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/RequestEquivalent.java,11,11.0
httpclient/src/test/java/org/apache/http/impl/client/builder/TestResponseEntityWrapper.java,23,11.5
httpclient/src/test/java/org/apache/http/impl/conn/tsccm/TestConnPoolByRoute.java,1343,15.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCachedHttpResponseGenerator.java,1987,68.5
httpclient/src/test/java/org/apache/http/impl/client/TestStatefulConnManagement.java,1256,63.0
httpclient/src/test/java/org/apache/http/client/entity/TestDecompressingEntity.java,1663,373.0
module-client/src/test/java/org/apache/http/localserver/EchoHandler.java,650,88.0
module-client/src/test/java/org/apache/http/mockup/ProxySelectorMockup.java,391,195.5
httpclient/src/test/java/org/apache/http/impl/conn/tsccm/TestSpuriousWakeup.java,1343,83.5
module-client/src/test/java/org/apache/http/client/methods/TestHttpRequestBase.java,468,185.0
httpclient-osgi/src/test/java/org/apache/http/osgi/impl/MimeExportedIT.java,65,32.5
httpclient/src/test/java/org/apache/http/impl/conn/tsccm/TestWaitingThread.java,1343,153.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestCookie2Support.java,866,82.0
